Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-11-02 09:00:00,18.32000000000005,81,8.05,light rain
2024-11-02 12:00:00,18.150000000000034,81,7.58,broken clouds
2024-11-02 15:00:00,16.450000000000045,86,4.32,few clouds
2024-11-02 18:00:00,15.32000000000005,87,3.49,broken clouds
2024-11-02 21:00:00,18.52000000000004,70,5.64,overcast clouds
2024-11-03 00:00:00,26.04000000000002,46,6.37,overcast clouds
2024-11-03 03:00:00,29.850000000000023,32,4.57,overcast clouds
2024-11-03 06:00:00,29.180000000000007,37,2.88,overcast clouds
2024-11-03 09:00:00,23.390000000000043,63,5.2,overcast clouds
2024-11-03 12:00:00,22.58000000000004,59,3.11,overcast clouds
2024-11-03 15:00:00,19.840000000000032,71,6.11,broken clouds
2024-11-03 18:00:00,17.78000000000003,83,3.98,broken clouds
2024-11-03 21:00:00,19.310000000000002,73,2.87,overcast clouds
2024-11-04 00:00:00,21.680000000000007,64,2.94,light rain
2024-11-04 03:00:00,23.379999999999995,55,4.4,overcast clouds
2024-11-04 06:00:00,24.55000000000001,56,3.35,overcast clouds
2024-11-04 09:00:00,20.170000000000016,81,2.89,broken clouds
2024-11-04 12:00:00,18.700000000000045,83,6.42,scattered clouds
2024-11-04 15:00:00,17.850000000000023,84,6.69,broken clouds
2024-11-04 18:00:00,17.760000000000048,84,4.65,light rain
2024-11-04 21:00:00,18.189999999999998,80,3.78,light rain
2024-11-05 00:00:00,19.80000000000001,70,3.52,overcast clouds
2024-11-05 03:00:00,20.660000000000025,69,4.41,broken clouds
2024-11-05 06:00:00,19.680000000000007,77,4.7,broken clouds
2024-11-05 09:00:00,19.08000000000004,84,4.71,broken clouds
2024-11-05 12:00:00,18.910000000000025,89,1.68,broken clouds
2024-11-05 15:00:00,19.110000000000014,91,1.48,overcast clouds
2024-11-05 18:00:00,18.99000000000001,93,0.26,overcast clouds
2024-11-05 21:00:00,20.200000000000045,85,1.83,overcast clouds
2024-11-06 00:00:00,25.210000000000036,63,2.17,broken clouds
2024-11-06 03:00:00,25.5,64,5.04,few clouds
2024-11-06 06:00:00,23.730000000000018,73,6.47,scattered clouds
2024-11-06 09:00:00,21.230000000000018,86,5.05,scattered clouds
2024-11-06 12:00:00,20.810000000000002,86,1.15,few clouds
2024-11-06 15:00:00,20.600000000000023,84,1.86,scattered clouds
2024-11-06 18:00:00,20.260000000000048,81,2.28,scattered clouds
2024-11-06 21:00:00,24.700000000000045,53,3.01,clear sky
2024-11-07 00:00:00,25.02000000000004,65,5.68,clear sky
2024-11-07 03:00:00,23.110000000000014,73,8.05,few clouds
2024-11-07 06:00:00,20.260000000000048,80,9.11,scattered clouds
